Date,SpotPrice
03-10-2016,48.61
04-10-2016,48.81
05-10-2016,49.57
06-10-2016,50.14
07-10-2016,50.49
10-10-2016,51.54
11-10-2016,50.48
12-10-2016,49.53
13-10-2016,49.29
14-10-2016,48.87
17-10-2016,49.31
18-10-2016,49.81
19-10-2016,51.85
20-10-2016,50.42
21-10-2016,50.28
24-10-2016,49.8
25-10-2016,49.08
26-10-2016,48.98
27-10-2016,49.13
28-10-2016,47.78
31-10-2016,46.2
01-11-2016,45.77
02-11-2016,44.26
03-11-2016,43.84
04-11-2016,43.06
07-11-2016,42.83
08-11-2016,43.47
09-11-2016,43.88
10-11-2016,43.67
11-11-2016,41.61
14-11-2016,41.83
15-11-2016,44.15
16-11-2016,45.07
17-11-2016,44.57
18-11-2016,44.41
21-11-2016,45.96
22-11-2016,46.1
23-11-2016,46.54
24-11-2016,47.54
25-11-2016,46.32
28-11-2016,46.64
29-11-2016,44.68
30-11-2016,47.95
01-12-2016,52.28
02-12-2016,52.35
05-12-2016,53.3
06-12-2016,52.31
07-12-2016,51.9
08-12-2016,51.6
09-12-2016,52.19
12-12-2016,53.99
13-12-2016,53.28
14-12-2016,53.15
15-12-2016,51.72
16-12-2016,54.15
19-12-2016,53.53
20-12-2016,54.56
21-12-2016,53.01
22-12-2016,54.04
23-12-2016,53.93
28-12-2016,54.95
29-12-2016,54.97
30-12-2016,54.96
03-01-2017,55.05
04-01-2017,54.57
05-01-2017,54.99
06-01-2017,55.9
09-01-2017,54.39
10-01-2017,53.2
11-01-2017,53.61
12-01-2017,54.51
13-01-2017,54.37
16-01-2017,54.3
17-01-2017,54.68
18-01-2017,53.77
19-01-2017,53.18
20-01-2017,55.04
23-01-2017,54.8
24-01-2017,54.7
25-01-2017,54.34
26-01-2017,55.89
27-01-2017,54.8
30-01-2017,54.77
31-01-2017,55.25
01-02-2017,55.79
02-02-2017,55.94
03-02-2017,55.92
06-02-2017,55.02
07-02-2017,53.79
08-02-2017,54.42
09-02-2017,53.98
10-02-2017,55.2
13-02-2017,54.15
14-02-2017,54.96
15-02-2017,54.57
16-02-2017,54.16
17-02-2017,54.48
20-02-2017,55.25
21-02-2017,56.34
22-02-2017,54.9
23-02-2017,55.82
24-02-2017,54.69
27-02-2017,54.65
28-02-2017,53.36
01-03-2017,55.72
02-03-2017,54.16
03-03-2017,54.12
06-03-2017,54.73
07-03-2017,54.61
08-03-2017,53.3
09-03-2017,50.65
10-03-2017,50.63
13-03-2017,50.1
14-03-2017,49.6
15-03-2017,50.63
16-03-2017,50.56
17-03-2017,50.58
20-03-2017,50.67
21-03-2017,50.14
22-03-2017,49.56
23-03-2017,50.17
24-03-2017,49.97
27-03-2017,50.12
28-03-2017,50.72
29-03-2017,51.36
30-03-2017,52.25
31-03-2017,52.2
03-04-2017,52.04
04-04-2017,53.08
05-04-2017,53.41
06-04-2017,53.62
07-04-2017,54.24
10-04-2017,54.79
11-04-2017,54.73
12-04-2017,54.75
13-04-2017,55.05
17-04-2017,54.79
18-04-2017,52.6
19-04-2017,52.43
20-04-2017,50.66
21-04-2017,49.93
24-04-2017,49.45
25-04-2017,49.37
26-04-2017,49.99
27-04-2017,49.46
28-04-2017,49.46
01-05-2017,50.41
02-05-2017,49.31
03-05-2017,48.82
04-05-2017,47.53
05-05-2017,47.45
08-05-2017,46.61
09-05-2017,47.06
10-05-2017,48.09
11-05-2017,49.18
12-05-2017,49.08
15-05-2017,51.29
16-05-2017,51.21
17-05-2017,51.76
18-05-2017,51.71
19-05-2017,52.78
